,facility_id,program_type,facility_status,facility_name,city,zipcode,school_district_name,infant_capacity,toddler_capacity,preschool_capacity,school_age_capacity,children_capacity,total_capacity,latitude,longitude,under-5_capacity
1575,848990,GFDC,License,"Gardens' Day Care, Inc",New York,10033,Manhattan 6,0,0,0,4,12,16,40.849508,-73.939037,0.0
1576,699732,SACC,Registration,SCOPE Education Services,East Rockaway,11518,East Rockaway,0,0,0,70,0,70,40.649078,-73.665887,0.0
1577,103447,GFDC,License,"Holloway, Juanita",Brooklyn,11226,Brooklyn 22,0,0,0,2,12,14,40.646263,-73.960083,0.0
1578,574999,GFDC,License,Above and Beyond Daycare,Roosevelt,11575,Roosevelt,0,0,0,4,12,16,40.681359,-73.577977,0.0
1579,380174,FDC,Registration,"Gonzalez De Estrella, Olga",New York,10019,Manhattan 2,0,0,0,2,6,8,40.766769,-73.99247,0.0
1580,841650,GFDC,License,"Pena, Albania",Bronx,10467,Bronx 11,0,0,0,4,12,16,40.879339,-73.859548,0.0
1581,231469,SACC,Registration,University Settlement Society of NY @Eastside Community HS,New York,10009,Manhattan 2,0,0,0,231,0,231,40.7277,-73.978,0.0
1582,198333,GFDC,License,Little Wonder Day Care,Uniondale,11553,Uniondale,0,0,0,4,12,16,40.692167,-73.597015,0.0
1583,259838,GFDC,License,"Building Blocks Day Care, Inc.",Hicksville,11801,Syosset,0,0,0,4,12,16,40.784205,-73.517041,0.0
1584,444975,GFDC,License,"Mini Minders Day Care, LLC",Brookyn,11215,Brooklyn 13,0,0,0,4,12,16,40.67378,-73.97893,0.0
1585,853631,SACC,Registration,Little Scholars Early Development Center,Bronx,10456,Bronx 9,0,0,0,34,0,34,40.827263,-73.907628,0.0
1586,867903,GFDC,License,"Lachman, Ederled",Brooklyn,11222,Brooklyn 14,0,0,0,4,12,16,40.731535,-73.953872,0.0
1587,375442,SACC,Registration,Graham-Windham,Bronx,10474,Bronx 8,0,0,0,191,0,191,40.815448,-73.885561,0.0
1588,284239,FDC,Registration,"Duran, Ana",New York,10033,Manhattan 6,0,0,0,2,6,8,40.852059,-73.930348,0.0
1589,816373,GFDC,License,"Heavenly Minds, LLC",Arverne,11692,Queens 27,0,0,0,4,12,16,40.595349,-73.792728,0.0
1590,726076,GFDC,License,"Platinum Family Group Daycare, LLC",Brooklyn,11234,Brooklyn 22,0,0,0,4,12,16,40.615922,-73.918656,0.0
1591,268369,GFDC,License,Caterpillars 2 Butterflies LLC,Bronx,10460,Bronx 12,0,0,0,4,12,16,40.838131,-73.864728,0.0
1592,790452,GFDC,License,"Valdez, Gabriela",Bronx,10462,Bronx 11,0,0,0,4,12,16,40.855357,-73.865596,0.0
1593,423520,GFDC,License,Carol's Day Care,Brentwood,11717,Brentwood,0,0,0,4,12,16,,,0.0
1594,870660,GFDC,License,Titi Sunflower Day Care Inc.,Lindenhurst,11757,Lindenhurst,0,0,0,4,12,16,40.696007,-73.362567,0.0
1595,819851,GFDC,License,Paradise of Joy LLC,Bronx,10454,Bronx 7,0,0,0,4,12,16,40.805487,-73.91683,0.0
1596,40217,DCC,License,Tiny Town Child Development Corp.,Scotia,12302,Scotia-Glenville,15,10,32,0,0,57,42.850049,-73.94243,44.2
1597,726225,GFDC,License,"Rivera- Alvarado, Jessica",Staten Island,10310,Richmond 31,0,0,0,4,12,16,40.635657,-74.11583,0.0
1598,473911,GFDC,License,"Taveras, Viviana",New York,10033,Manhattan 6,0,0,0,0,12,12,40.848543,-73.931505,0.0
1599,762328,GFDC,License,"Roze, Ineta",Brooklyn,11223,Brooklyn 21,0,0,0,4,12,16,40.594834,-73.961131,0.0
1600,849336,GFDC,License,ADK KIDS LLC,Plattsburgh,12901,Beekmantown,0,0,0,4,12,16,44.71856,-73.403942,0.0
1601,879060,GFDC,License,YVE'S ANGELS DAY CARE INC,Bronx,10472,Bronx 8,0,0,0,4,12,16,40.831652,-73.857805,0.0
1602,318947,DCC,License,"Schuyler Head Start, Inc.",Montour Falls,14865,Odessa-Montour,0,0,95,0,0,95,42.341326,-76.841329,57.0
1603,556703,GFDC,License,Elite Group Family Daycare Inc.,Bronx,10463,Bronx 10,0,0,0,2,12,14,40.87603,-73.903146,0.0
1604,492772,GFDC,License,Lala's Daycare,Yonkers,10705,Yonkers,0,0,0,4,12,16,40.917166,-73.895742,0.0
1605,684060,GFDC,License,Shining Garden Day Care,Syracuse,13224,Syracuse,0,0,0,4,12,16,43.046993,-76.110626,0.0
